StateA,State,District,Year,Dcandidate,Rcandidate,Ocandidate,Dpercent,Rpercent,Opercent,IncumbentParty,Winner,Margin,IncOverPerformance,P2024,P2020,P2016,P2012,P2008,P2004,P2000,Evs,Redistricted,Polls,Chance,Median
NE,Nebraska,President,2012,Barack Obama,Mitt Romney,,38.03,59.8,,,,-21.77,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,2,,-13.5,0.012835205134082053,-15.622499999999999
NE01,NE01,President,2012,Barack Obama,Mitt Romney,,40.83,57.43,,,,-16.6,,,-10,-18.3,-16.2,-9.1,-9.1,-9.1,1,,,0.0005386479935362241,-18.450000000000003
NE02,NE02,President,2012,Barack Obama,Mitt Romney,,45.7,52.85,,,,-7.15,,,6.4,-1.9,-6.4,1.9,1.9,1.9,1,,,0.19364395367627255,-7.450000000000002
NE03,NE03,President,2012,Barack Obama,Mitt Romney,,27.82,70.23,,,,-42.41,,,-51.8,-53.6,-43,-34.2,-34.2,-34.2,1,,,0.0,-43.550000000000004
NV,Nevada,President,2012,Barack Obama,Mitt Romney,,52.36,45.68,,,,6.68,,,2.39,2.42,6.68,12.5,-2.59,-3.54,6,,4.5,0.8482695393078157,8.085
NH,New Hampshire,President,2012,Barack Obama,Mitt Romney,,51.98,46.4,,,,5.58,,,7.35,0.37,5.58,9.61,1.37,-1.27,4,,3.5,0.7350446940178776,4.849999999999999
NJ,New Jersey,President,2012,Barack Obama,Mitt Romney,,58.38,40.59,,,,17.79,,,15.93,14.1,17.79,15.57,6.68,15.84,14,,10.25,0.8606463442585377,8.4175
NM,New Mexico,President,2012,Barack Obama,Mitt Romney,,52.99,42.84,,,,10.15,,,10.79,8.22,10.15,15.13,-0.79,0.06,5,,8,0.918863167545267,10.907500000000002
NY,New York,President,2012,Barack Obama,Mitt Romney,,63.35,35.17,,,,28.18,,,23.13,22.49,28.18,26.85,18.29,24.98,28,,25.5,1.0,22.2175
NC,North Carolina,President,2012,Barack Obama,Mitt Romney,,48.35,50.39,,,,-2.04,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,16,,-1.7,0.38803575521430206,-1.9549999999999992
ND,North Dakota,President,2012,Barack Obama,Mitt Romney,,38.7,58.32,,,,-19.62,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,3,,-19.5,0.025670410268164107,-13.747500000000002
OH,Ohio,President,2012,Barack Obama,Mitt Romney,,50.67,47.69,,,,2.98,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,17,,3.6,0.5844602337840935,1.6000000000000005
OK,Oklahoma,President,2012,Barack Obama,Mitt Romney,,33.23,66.77,,,,-33.54,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,7,,-26,0.0,-35.3
OR,Oregon,President,2012,Barack Obama,Mitt Romney,,54.24,42.15,,,,12.09,,,16.08,10.98,12.09,16.35,4.16,0.44,8,,6.6,0.9229887691955077,11.0275
PA,Pennsylvania,President,2012,Barack Obama,Mitt Romney,,51.97,46.59,,,,5.38,,,1.16,-0.72,5.38,10.32,2.5,4.17,19,,4.25,0.718542287416915,4.3975
RI,Rhode Island,President,2012,Barack Obama,Mitt Romney,,62.7,35.24,,,,27.46,,,20.78,15.51,27.46,27.8,20.75,29.08,4,,21,1.0,19.655
SC,South Carolina,President,2012,Barack Obama,Mitt Romney,,44.09,54.56,,,,-10.47,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,9,,,0.019391327767304067,-14.835000000000004
SD,South Dakota,President,2012,Barack Obama,Mitt Romney,,39.87,57.89,,,,-18.02,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,3,,-12,0.0550080220032088,-11.095000000000002
TN,Tennessee,President,2012,Barack Obama,Mitt Romney,,39.08,59.48,,,,-20.4,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,11,,-18,0.0,-23.76
TX,Texas,President,2012,Barack Obama,Mitt Romney,,41.38,57.17,,,,-15.79,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,40,,-17.5,0.0045840018336007335,-16.6725
UT,Utah,President,2012,Barack Obama,Mitt Romney,,24.69,72.62,,,,-47.93,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,6,,-49,0.0,-39.43
VT,Vermont,President,2012,Barack Obama,Mitt Romney,,66.57,30.97,,,,35.6,,,35.42,26.41,35.6,37.01,20.14,9.93,3,,,1.0,40.2
VA,Virginia,President,2012,Barack Obama,Mitt Romney,,51.16,47.28,,,,3.88,,,10.11,5.32,3.88,6.3,-8.2,-8.03,13,,2,0.6628466651386661,3.1149999999999993
WA,Washington,President,2012,Barack Obama,Mitt Romney,,56.16,41.29,,,,14.87,,,19.2,15.71,14.87,17.17,7.18,5.58,12,,13.8,0.9642447856979143,13.8
WV,West Virginia,President,2012,Barack Obama,Mitt Romney,,35.54,62.3,,,,-26.76,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,4,,,0.0,-25.865
WI,Wisconsin,President,2012,Barack Obama,Mitt Romney,,52.83,45.89,,,,6.94,,,0.63,-0.77,6.94,13.91,0.38,0.22,10,,5.5,0.8675223470089388,8.7025
WY,Wyoming,President,2012,Barack Obama,Mitt Romney,,27.82,68.64,,,,-40.82,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,3,,,0.0,-37.68000000000001
NAT,National,President,2016,Hillary Clinton,Donald Trump,,48.2,46.1,,,,2.1,,,4.5,2.1,3.9,7.2,-2.4,0.5,0,,3.9,0.7070822828329131,3.9
AL,Alabama,President,2016,Hillary Clinton,Donald Trump,,34.36,62.08,,,,-27.72,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,9,,-24,0.0,-23.625
AK,Alaska,President,2016,Hillary Clinton,Donald Trump,,36.55,51.28,,,,-14.73,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,3,,-5,0.1324776529910612,-8.679999999999998
AZ,Arizona,President,2016,Hillary Clinton,Donald Trump,,44.58,48.08,,,,-3.5,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,11,,-2,0.19665367866147146,-7.005000000000001
AR,Arkansas,President,2016,Hillary Clinton,Donald Trump,,33.65,60.57,,,,-26.92,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,6,,-19.5,0.0,-26.152499999999996
CA,California,President,2016,Hillary Clinton,Donald Trump,,61.73,31.62,,,,30.11,,,29.16,30.11,23.12,24.06,9.95,11.8,54,,23,1.0,24.555000000000007
CO,Colorado,President,2016,Hillary Clinton,Donald Trump,,48.16,43.25,,,,4.91,,,13.5,4.91,5.36,8.95,-4.67,-8.36,10,,4.1,0.7946367178546871,5.662500000000001
CT,Connecticut,President,2016,Hillary Clinton,Donald Trump,,54.57,40.93,,,,13.64,,,20.07,13.64,17.33,22.37,10.36,17.47,7,,12.6,0.9834975933990373,15.329999999999998
DE,Delaware,President,2016,Hillary Clinton,Donald Trump,,53.09,41.72,,,,11.37,,,18.97,11.37,18.63,24.99,7.6,13.06,3,,12.5,0.9931239972495989,16.994999999999997
DC,DC,President,2016,Hillary Clinton,Donald Trump,,90.86,4.09,,,,86.77,,,86.75,86.77,83.63,85.93,79.84,76.21,3,,70.5,1.0,76.9375
FL,Florida,President,2016,Hillary Clinton,Donald Trump,,47.82,49.02,,,,-1.2,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,30,,0.6,0.5422874169149667,0.6375000000000011
GA,Georgia,President,2016,Hillary Clinton,Donald Trump,,45.64,50.77,,,,-5.13,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,16,,-4,0.21819848727939492,-5.58
HI,Hawaii,President,2016,Hillary Clinton,Donald Trump,,62.22,30.03,,,,32.19,,,29.46,32.19,42.71,45.27,8.75,18.33,4,,23.8,1.0,40.67
ID,Idaho,President,2016,Hillary Clinton,Donald Trump,,27.49,59.26,,,,-31.77,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,4,,-19.6,0.0,-26.112500000000004
IL,Illinois,President,2016,Hillary Clinton,Donald Trump,,55.83,38.76,,,,17.07,,,16.99,17.07,16.87,25.14,10.34,12.02,19,,12.9,0.9793719917487967,14.985000000000001
IN,Indiana,President,2016,Hillary Clinton,Donald Trump,,37.77,56.94,,,,-19.17,,,-16.07,-18.91,-10.2,1.04,-20.68,-15.64,11,,-11.6,0.08847123538849415,-9.854999999999999
IA,Iowa,President,2016,Hillary Clinton,Donald Trump,,41.74,51.15,,,,-9.41,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,6,,-2.9,0.5860646344258538,1.9999999999999996
KS,Kansas,President,2016,Hillary Clinton,Donald Trump,,36.05,56.65,,,,-20.6,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,6,,-12.5,0.0027504011001604402,-18.1875
KY,Kentucky,President,2016,Hillary Clinton,Donald Trump,,32.68,62.52,,,,-29.84,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,8,,-18.2,0.0,-22.7275
LA,Louisiana,President,2016,Hillary Clinton,Donald Trump,,38.45,58.09,,,,-19.64,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,8,,-16.1,0.00045840018336007336,-18.7
ME,Maine,President,2016,Hillary Clinton,Donald Trump,,47.83,44.87,,,,2.96,,,9.07,2.96,15.29,17.33,8.99,5.12,2,,7.5,0.9330735732294293,11.79
ME01,ME1,President,2016,Hillary Clinton,Donald Trump,,53.96,39.15,,,,14.81,,,22.8,14.4,21.8,23.7,23.7,23.7,1,,13.9,0.9871647948659179,16.3
ME02,ME2,President,2016,Hillary Clinton,Donald Trump,,40.98,51.26,,,,-10.28,,,-6.1,-9,9.4,10.9,10.9,10.9,1,,1.3,0.6846206738482695,3.9
MD,Maryland,President,2016,Hillary Clinton,Donald Trump,,60.33,33.91,,,,26.42,,,33.21,26.42,26.07,25.45,12.98,16.39,10,,25.7,1.0,27.465000000000003
MA,Massachusetts,President,2016,Hillary Clinton,Donald Trump,,60.01,32.81,,,,27.2,,,33.46,27.2,23.14,25.81,25.16,27.3,11,,23.4,1.0,21.4
MI,Michigan,President,2016,Hillary Clinton,Donald Trump,,47.27,47.5,,,,-0.23,,,2.78,-0.23,9.5,16.47,3.42,5.13,15,,4.2,0.8258079303231721,7.200000000000001
MN,Minnesota,President,2016,Hillary Clinton,Donald Trump,,46.44,44.92,,,,1.52,,,7.12,1.52,7.69,10.24,3.48,2.41,10,,5.8,0.8193903277561311,6.300000000000001
MS,Mississippi,President,2016,Hillary Clinton,Donald Trump,,40.06,57.86,,,,-17.8,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,6,,-13.1,0.0550080220032088,-11.827499999999999
MO,Missouri,President,2016,Hillary Clinton,Donald Trump,,38.14,56.77,,,,-18.63,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,10,,-10,0.0550080220032088,-11.499999999999998
MT,Montana,President,2016,Hillary Clinton,Donald Trump,,35.75,56.17,,,,-20.42,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,4,,-15,0.025212010084804035,-14.185
NE,Nebraska,President,2016,Hillary Clinton,Donald Trump,,33.7,58.75,,,,-25.05,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,2,,-17.9,0.00045840018336007336,-18.9
NE01,NE01,President,2016,Hillary Clinton,Donald Trump,,35.46,56.18,,,,-20.72,,,-10,-18.3,-16.2,-9.1,-9.1,-9.1,1,,-15.5,0.0,-18.9
NE02,NE02,President,2016,Hillary Clinton,Donald Trump,,44.92,47.16,,,,-2.24,,,6.4,-1.9,-6.4,1.9,1.9,1.9,1,,-1.8,0.18083887233554893,-7.700000000000001
NE03,NE03,President,2016,Hillary Clinton,Donald Trump,,19.73,73.92,,,,-54.19,,,-51.8,-53.6,-43,-34.2,-34.2,-34.2,1,,-36.1,0.0,-43.324999999999996
NV,Nevada,President,2016,Hillary Clinton,Donald Trump,,47.92,45.5,,,,2.42,,,2.39,2.42,6.68,12.5,-2.59,-3.54,6,,1.2,0.7393994957597984,4.700000000000001
NH,New Hampshire,President,2016,Hillary Clinton,Donald Trump,,46.98,46.61,,,,0.37,,,7.35,0.37,5.58,9.61,1.37,-1.27,4,,3.6,0.7350446940178776,4.1
NJ,New Jersey,President,2016,Hillary Clinton,Donald Trump,,55.45,41.35,,,,14.1,,,15.93,14.1,17.79,15.57,6.68,15.84,14,,11.5,0.9871647948659179,16.0
NM,New Mexico,President,2016,Hillary Clinton,Donald Trump,,48.26,40.04,,,,8.22,,,10.79,8.22,10.15,15.13,-0.79,0.06,5,,15.8,0.974787989915196,13.65
NY,New York,President,2016,Hillary Clinton,Donald Trump,,59.01,36.52,,,,22.49,,,23.13,22.49,28.18,26.85,18.29,24.98,28,,19,1.0,24.9875
NC,North Carolina,President,2016,Hillary Clinton,Donald Trump,,46.17,49.83,,,,-3.66,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,16,,0.7,0.5058446023378409,0.009999999999999787
ND,North Dakota,President,2016,Hillary Clinton,Donald Trump,,27.23,62.96,,,,-35.73,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,3,,-23.1,0.0,-20.9
OH,Ohio,President,2016,Hillary Clinton,Donald Trump,,43.56,51.69,,,,-8.13,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,17,,-1.9,0.5276186110474445,0.5999999999999992
OK,Oklahoma,President,2016,Hillary Clinton,Donald Trump,,28.93,65.32,,,,-36.39,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,7,,-26,0.0,-32.04
OR,Oregon,President,2016,Hillary Clinton,Donald Trump,,50.07,39.09,,,,10.98,,,16.08,10.98,12.09,16.35,4.16,0.44,8,,9.1,0.93765757506303,11.09
PA,Pennsylvania,President,2016,Hillary Clinton,Donald Trump,,47.46,48.18,,,,-0.72,,,1.16,-0.72,5.38,10.32,2.5,4.17,19,,3.7,0.7112078844831538,3.700000000000001
RI,Rhode Island,President,2016,Hillary Clinton,Donald Trump,,54.41,38.9,,,,15.51,,,20.78,15.51,27.46,27.8,20.75,29.08,4,,14.4,1.0,21.5325
SC,South Carolina,President,2016,Hillary Clinton,Donald Trump,,40.67,54.94,,,,-14.27,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,9,,-7,0.11276644510657804,-8.815000000000003
SD,South Dakota,President,2016,Hillary Clinton,Donald Trump,,31.74,61.53,,,,-29.79,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,3,,-15.5,0.0045840018336007335,-17.472500000000004
TN,Tennessee,President,2016,Hillary Clinton,Donald Trump,,34.72,60.72,,,,-26,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,11,,-12,0.0,-19.4
TX,Texas,President,2016,Hillary Clinton,Donald Trump,,43.24,52.23,,,,-8.99,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,40,,-8.5,0.05638322255328902,-12.399999999999997
UT,Utah,President,2016,Hillary Clinton,Donald Trump,,27.46,45.54,,,,-18.08,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,6,,-10.6,0.0,-32.4375
VT,Vermont,President,2016,Hillary Clinton,Donald Trump,,56.68,30.27,,,,26.41,,,35.42,26.41,35.6,37.01,20.14,9.93,3,,27.4,1.0,34.1
VA,Virginia,President,2016,Hillary Clinton,Donald Trump,,49.73,44.41,,,,5.32,,,10.11,5.32,3.88,6.3,-8.2,-8.03,13,,5.5,0.8093055237222095,5.88
WA,Washington,President,2016,Hillary Clinton,Donald Trump,,52.54,36.83,,,,15.71,,,19.2,15.71,14.87,17.17,7.18,5.58,12,,13.3,0.974787989915196,14.4325
WV,West Virginia,President,2016,Hillary Clinton,Donald Trump,,26.43,68.5,,,,-42.07,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,4,,-26.5,0.0,-31.18
WI,Wisconsin,President,2016,Hillary Clinton,Donald Trump,,46.45,47.22,,,,-0.77,,,0.63,-0.77,6.94,13.91,0.38,0.22,10,,5.3,0.8177859271143708,6.1850000000000005
WY,Wyoming,President,2016,Hillary Clinton,Donald Trump,,21.88,68.17,,,,-46.29,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,3,,-35,0.0,-39.82
NAT,National,President,2020,Joe Biden,Donald Trump,,51.3,46.8,,,,4.5,,,4.5,2.1,3.9,7.2,-2.4,0.5,0,,8.4,0.868668347467339,7.9
AL,Alabama,President,2020,Joe Biden,Donald Trump,,36.57,62.03,,,,-25.46,,,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,9,,-18.8,0.0,-20.870000000000005
AK,Alaska,President,2020,Joe Biden,Donald Trump,,42.77,52.83,,,,-10.06,,,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,3,,-7.7,0.23653449461379786,-5.590000000000002
AZ,Arizona,President,2020,Joe Biden,Donald Trump,,49.36,49.06,,,,0.3,,,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,11,,2.6,0.725189090075636,4.73
AR,Arkansas,President,2020,Joe Biden,Donald Trump,,34.78,62.4,,,,-27.62,,,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,6,,-22.8,0.0,-22.70000000000001
CA,California,President,2020,Joe Biden,Donald Trump,,63.48,34.32,,,,29.16,,,29.16,30.11,23.12,24.06,9.95,11.8,54,,29.2,1.0,35.092499999999994
CO,Colorado,President,2020,Joe Biden,Donald Trump,,55.4,41.9,,,,13.5,,,13.5,4.91,5.36,8.95,-4.67,-8.36,10,,12.5,0.9484299793719917,11.620000000000001
CT,Connecticut,President,2020,Joe Biden,Donald Trump,,59.26,39.19,,,,20.07,,,20.07,13.64,17.33,22.37,10.36,17.47,7,,26.3,1.0,21.7125
DE,Delaware,President,2020,Joe Biden,Donald Trump,,58.74,39.77,,,,18.97,,,18.97,11.37,18.63,24.99,7.6,13.06,3,,24.3,0.9995415998166399,18.355
DC,DC,President,2020,Joe Biden,Donald Trump,,92.15,5.4,,,,86.75,,,86.75,86.77,83.63,85.93,79.84,76.21,3,,85,1.0,90.02000000000001
FL,Florida,President,2020,Joe Biden,Donald Trump,,47.86,51.22,,,,-3.36,,,-3.36,-1.2,0.88,2.81,-5.01,-0.01,30,,2.5,0.6940178776071511,3.5725
GA,Georgia,President,2020,Joe Biden,Donald Trump,,49.47,49.24,,,,0.23,,,0.23,-5.13,-7.82,-5.21,-16.6,-11.69,16,,1.2,0.5959202383680954,1.9799999999999986
HI,Hawaii,President,2020,Joe Biden,Donald Trump,,63.73,34.27,,,,29.46,,,29.46,32.19,42.71,45.27,8.75,18.33,4,,34.3,1.0,34.19
ID,Idaho,President,2020,Joe Biden,Donald Trump,,33.07,63.84,,,,-30.77,,,-30.77,-31.77,-31.69,-25.43,-38.12,-39.53,4,,-18.1,0.0,-22.595
IL,Illinois,President,2020,Joe Biden,Donald Trump,,57.54,40.55,,,,16.99,,,16.99,17.07,16.87,25.14,10.34,12.02,19,,16,0.9995415998166399,18.884999999999998
IN,Indiana,President,2020,Joe Biden,Donald Trump,,40.96,57.03,,,,-16.07,,,-16.07,-18.91,-10.2,1.04,-20.68,-15.64,11,,-10.8,0.01650240660096264,-15.91
IA,Iowa,President,2020,Joe Biden,Donald Trump,,44.89,53.09,,,,-8.2,,,-8.2,-9.41,5.81,9.54,-0.67,0.32,6,,-1.3,0.23286729314691726,-6.167499999999999
KS,Kansas,President,2020,Joe Biden,Donald Trump,,41.51,56.14,,,,-14.63,,,-14.63,-20.6,-21.61,-14.96,-25.38,-20.8,6,,-12.9,0.03025441210176484,-14.235000000000005
KY,Kentucky,President,2020,Joe Biden,Donald Trump,,36.15,62.09,,,,-25.94,,,-25.94,-29.84,-22.69,-16.23,-19.86,-15.13,8,,-15.7,0.0,-22.247500000000002
LA,Louisiana,President,2020,Joe Biden,Donald Trump,,39.85,58.46,,,,-18.61,,,-18.61,-19.64,-17.2,-18.63,-14.5,-7.67,8,,-20.6,0.012835205134082053,-16.447500000000005
ME,Maine,President,2020,Joe Biden,Donald Trump,,53.09,44.02,,,,9.07,,,9.07,2.96,15.29,17.33,8.99,5.12,2,,13,0.8631675452670181,8.3125
ME01,ME1,President,2020,Joe Biden,Donald Trump,,60.11,37.02,,,,23.09,,,22.8,14.4,21.8,23.7,23.7,23.7,1,,19,0.9995415998166399,18.3
ME02,ME2,President,2020,Joe Biden,Donald Trump,,44.82,52.26,,,,-7.44,,,-6.1,-9,9.4,10.9,10.9,10.9,1,,1.5,0.3020857208342883,-4.799999999999999
MD,Maryland,President,2020,Joe Biden,Donald Trump,,65.36,32.15,,,,33.21,,,33.21,26.42,26.07,25.45,12.98,16.39,10,,31.4,1.0,33.0775
MA,Massachusetts,President,2020,Joe Biden,Donald Trump,,65.6,32.14,,,,33.46,,,33.46,27.2,23.14,25.81,25.16,27.3,11,,35.8,1.0,35.7725
MI,Michigan,President,2020,Joe Biden,Donald Trump,,50.62,47.84,,,,2.78,,,2.78,-0.23,9.5,16.47,3.42,5.13,15,,7.9,0.6862250744900298,3.5850000000000026
MN,Minnesota,President,2020,Joe Biden,Donald Trump,,52.4,45.28,,,,7.12,,,7.12,1.52,7.69,10.24,3.48,2.41,10,,9.2,0.8487279394911758,7.104999999999999
MS,Mississippi,President,2020,Joe Biden,Donald Trump,,41.06,57.6,,,,-16.54,,,-16.54,-17.8,-11.5,-13.18,-19.69,-16.92,6,,-15.9,0.03025441210176484,-14.080000000000004
MO,Missouri,President,2020,Joe Biden,Donald Trump,,41.41,56.8,,,,-15.39,,,-15.39,-18.63,-9.38,-0.14,-7.2,-3.34,10,,-8,0.03300481320192528,-14.012500000000001
MT,Montana,President,2020,Joe Biden,Donald Trump,,40.55,56.92,,,,-16.37,,,-16.37,-20.42,-13.65,-2.26,-20.51,-25.08,4,,-4.4,0.0669264267705707,-13.525000000000004
NE,Nebraska,President,2020,Joe Biden,Donald Trump,,39.17,58.22,,,,-19.05,,,-19.05,-25.05,-21.77,-14.93,-33.22,-29,2,,-19,0.0,-20.630000000000003
NE01,NE01,President,2020,Joe Biden,Donald Trump,,41.09,56.01,,,,-14.92,,,-10,-18.3,-16.2,-9.1,-9.1,-9.1,1,,-14,0.025212010084804035,-14.524999999999997
NE02,NE02,President,2020,Joe Biden,Donald Trump,,51.95,45.45,,,,6.5,,,6.4,-1.9,-6.4,1.9,1.9,1.9,1,,4,0.7183130873252349,4.025
NE03,NE03,President,2020,Joe Biden,Donald Trump,,22.34,75.36,,,,-53.02,,,-51.8,-53.6,-43,-34.2,-34.2,-34.2,1,,-50,0.0,-52.449999999999996
NV,Nevada,President,2020,Joe Biden,Donald Trump,,50.06,47.67,,,,2.39,,,2.39,2.42,6.68,12.5,-2.59,-3.54,6,,5.3,0.7879899151959661,5.299999999999999
NH,New Hampshire,President,2020,Joe Biden,Donald Trump,,52.71,45.36,,,,7.35,,,7.35,0.37,5.58,9.61,1.37,-1.27,4,,11.1,0.8290167316066926,7.35
NJ,New Jersey,President,2020,Joe Biden,Donald Trump,,57.33,41.4,,,,15.93,,,15.93,14.1,17.79,15.57,6.68,15.84,14,,20.4,1.0,20.807499999999997
NM,New Mexico,President,2020,Joe Biden,Donald Trump,,54.29,43.5,,,,10.79,,,10.79,8.22,10.15,15.13,-0.79,0.06,5,,11.7,0.9582855833142333,12.1575
NY,New York,President,2020,Joe Biden,Donald Trump,,60.87,37.74,,,,23.13,,,23.13,22.49,28.18,26.85,18.29,24.98,28,,29.4,1.0,28.779999999999994
NC,North Carolina,President,2020,Joe Biden,Donald Trump,,48.59,49.93,,,,-1.34,,,-1.34,-3.66,-2.04,0.32,-12.44,-12.83,16,,3.2,0.6449690579876232,2.700000000000001
ND,North Dakota,President,2020,Joe Biden,Donald Trump,,31.78,65.12,,,,-33.34,,,-33.34,-35.73,-19.62,-8.63,-27.36,-27.6,3,,-17.3,0.0,-29.865000000000002
OH,Ohio,President,2020,Joe Biden,Donald Trump,,45.24,53.27,,,,-8.03,,,-8.03,-8.13,2.98,4.59,-2.1,-3.51,17,,-0.9,0.31767132706853085,-3.7700000000000014
OK,Oklahoma,President,2020,Joe Biden,Donald Trump,,32.29,65.37,,,,-33.08,,,-33.08,-36.39,-33.54,-31.3,-31.14,-21.88,7,,-23,0.0,-27.042499999999997
OR,Oregon,President,2020,Joe Biden,Donald Trump,,56.45,40.37,,,,16.08,,,16.08,10.98,12.09,16.35,4.16,0.44,8,,21.3,1.0,18.722500000000004
PA,Pennsylvania,President,2020,Joe Biden,Donald Trump,,49.85,48.69,,,,1.16,,,1.16,-0.72,5.38,10.32,2.5,4.17,19,,4.7,0.6818702727481091,3.1549999999999994
RI,Rhode Island,President,2020,Joe Biden,Donald Trump,,59.39,38.61,,,,20.78,,,20.78,15.51,27.46,27.8,20.75,29.08,4,,30.6,1.0,23.9075
SC,South Carolina,President,2020,Joe Biden,Donald Trump,,43.43,55.11,,,,-11.68,,,-11.68,-14.27,-10.47,-8.97,-17.08,-15.94,9,,-7.1,0.1324776529910612,-8.084999999999999
SD,South Dakota,President,2020,Joe Biden,Donald Trump,,35.61,61.77,,,,-26.16,,,-26.16,-29.79,-18.02,-8.41,-21.47,-22.74,3,,-15.4,0.0,-24.130000000000003
TN,Tennessee,President,2020,Joe Biden,Donald Trump,,37.45,60.66,,,,-23.21,,,-23.21,-26,-20.4,-15.07,-14.27,-3.87,11,,-13.7,0.0013752005500802201,-18.657500000000006
TX,Texas,President,2020,Joe Biden,Donald Trump,,46.48,52.06,,,,-5.58,,,-5.58,-8.99,-15.79,-11.77,-22.87,-21.32,40,,-1.1,0.481320192528077,-0.42499999999999893
UT,Utah,President,2020,Joe Biden,Donald Trump,,37.65,58.13,,,,-20.48,,,-20.48,-18.08,-47.93,-28.17,-45.54,-40.49,6,,-9.8,0.17419206967682788,-7.492499999999998
VT,Vermont,President,2020,Joe Biden,Donald Trump,,66.09,30.67,,,,35.42,,,35.42,26.41,35.6,37.01,20.14,9.93,3,,38.7,1.0,33.83
VA,Virginia,President,2020,Joe Biden,Donald Trump,,54.11,44,,,,10.11,,,10.11,5.32,3.88,6.3,-8.2,-8.03,13,,11.8,0.9559935823974329,12.240000000000002
WA,Washington,President,2020,Joe Biden,Donald Trump,,57.97,38.77,,,,19.2,,,19.2,15.71,14.87,17.17,7.18,5.58,12,,23,1.0,22.915
WV,West Virginia,President,2020,Joe Biden,Donald Trump,,29.69,68.62,,,,-38.93,,,-38.93,-42.07,-26.76,-13.12,-12.86,-6.33,4,,-23.8,0.0,-36.7475
WI,Wisconsin,President,2020,Joe Biden,Donald Trump,,49.45,48.82,,,,0.63,,,0.63,-0.77,6.94,13.91,0.38,0.22,10,,8.4,0.7038734815493927,4.07
WY,Wyoming,President,2020,Joe Biden,Donald Trump,,26.55,69.94,,,,-43.39,,,-43.39,-46.29,-40.82,-32.24,-39.79,-40.06,3,,-31.5,0.0,-38.482499999999995
NAT,National,President,2024,Kamala Harris,Donald Trump,,48.3,49.9,,,,-1.6,,-1.5,4.5,2.1,3.9,7.2,-2.4,0.5,0,,1.27,0.5835434334173734,1.7699999999999996
AL,Alabama,President,2024,Kamala Harris,Donald Trump,,34.1,64.6,,,,-30.5,,-30.47,-25.46,-27.72,-22.19,-21.58,-25.62,-14.91,9,,,0.0,-30.125000000000004
AK,Alaska,President,2024,Kamala Harris,Donald Trump,,41.4,54.5,,,,-13.1,,-13.13,-10.06,-14.73,-13.99,-21.53,-25.55,-30.95,3,,-8,0.0893880357552143,-9.8125
AZ,Arizona,President,2024,Kamala Harris,Donald Trump,,46.7,52.2,,,,-5.5,,-5.53,0.3,-3.5,-9.06,-8.52,-10.47,-6.29,11,,-1.96,0.48888379555351824,-0.2550000000000008
AR,Arkansas,President,2024,Kamala Harris,Donald Trump,,33.5,64.2,,,,-30.7,,-30.64,-27.62,-26.92,-23.69,-19.86,-9.76,-5.45,6,,-15,0.0,-24.5575
